SOUND SPEED TABLE
M         M/S
      0.00   1534.06
     10.00   1534.23
     20.00   1534.40
     30.00   1534.57
     50.00   1534.91
     75.00   1535.00
    100.00   1534.16
    125.00   1531.65
    150.00   1527.02
    200.00   1513.76
    250.00   1502.74
    300.00   1497.03
    400.00   1488.93
    500.00   1484.94
    600.00   1484.20
    700.00   1484.19
    800.00   1484.22
    900.00   1484.18
   1000.00   1484.09
   1100.00   1483.99
   1200.00   1484.23
   1300.00   1484.74
   1400.00   1485.59
   1500.00   1486.65
   1750.00   1489.37
   2000.00   1492.51
   2500.00   1499.65
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5609.00   1554.07
EOT
